youtube_id,title,description,published_at,channel_youtube_id
P_VDIMREvYA,Celebrities in frame: Unraveling the intense side with a comic twist ft. Chetana Das,"#interview #chetanadas #watch #assamseindustry
""I never faced any trouble in essaying any role. Be it a comic one or an intense. I am an actor and it is my duty to never fail my audience"" - Chetana Das.
https://www.facebook.com/IndiaTodayNE/?ref
https://twitter.com/IndiaTodayNE
https://www.instagram.com/indiatodayne/
https://www.indiatodayne.in/",2023-08-19T12:30:13Z,UCg1nNKwJIeVUhxbtmqfVmgg
5DSDiQz7eZM,MLA RK Imo Singh applauds homecoming of 212 Meiteis after conflict resolution,"212 Indian citizens, all belonging to the Meitei community, have successfully made their way back to their respective homes. This development comes in response to the conflict that ignited on May 3rd, prompting them to seek refuge across the border. 


https://www.facebook.com/IndiaTodayNE/?ref
https://twitter.com/IndiaTodayNE
https://www.instagram.com/indiatodayne/
https://www.indiatodayne.in/",2023-08-19T09:45:18Z,UCg1nNKwJIeVUhxbtmqfVmgg
f9pTTswcd3w,"Assam CM should be considered as 'Mahanayak' if delimitation was done by him, says Pijush Hazarika","Himanta Biswa Sarma should be considered as 'Mahanayak' if delimitation was done by him, says Pijush Hazarika

https://www.facebook.com/IndiaTodayNE/?ref
https://twitter.com/IndiaTodayNE
https://www.instagram.com/indiatodayne/
https://www.indiatodayne.in/",2023-08-19T08:09:36Z,UCg1nNKwJIeVUhxbtmqfVmgg
uJiFkUbBGkY,#WATCH: Meghalaya's pineapples shine as Meghalaya Pineapple Festival commences in Dilli Haat.,"#meghalaya #conradsangma #delhi #pineapple #festival 

Meghalaya's pineapples shine in Delhi as Meghalaya Pineapple Festival commences in Dilli Haat.


https://www.facebook.com/IndiaTodayNE/?ref
https://twitter.com/IndiaTodayNE
https://www.instagram.com/indiatodayne/
https://www.indiatodayne.in/",2023-08-18T14:28:19Z,UCg1nNKwJIeVUhxbtmqfVmgg
Q7oPEPwwZ9Q,Celebrities in Frame: Multifaceted acts of actress Chetana Das enwrapped with a tinch of laughter,"#chetanadas #assamesecinema  #filmindustry  #assamesefilms  #jollywoodcomedy #jollywood 

Stay tuned with India TodayNE for this up and close conversation with Assam's popular actress and Chetana Das




https://www.facebook.com/IndiaTodayNE/?ref
https://twitter.com/IndiaTodayNE
https://www.instagram.com/indiatodayne/
https://www.indiatodayne.in/",2023-08-18T12:31:17Z,UCg1nNKwJIeVUhxbtmqfVmgg
6bj5L9gmzJI,Manipur BJP MLA urges Centre not to hold any talks with SoO insurgent groups,"Manipur BJP MLA RK Imo Singh has urged the Central government not to hold any talks with the SoO insurgent groups who have allegedly violated the ground rules in the past couple of months.

https://www.facebook.com/IndiaTodayNE/?ref
https://twitter.com/IndiaTodayNE
https://www.instagram.com/indiatodayne/
https://www.indiatodayne.in/",2023-08-18T03:52:58Z,UCg1nNKwJIeVUhxbtmqfVmgg
AV5ETqxcbVo,Live|| CM Himanta Biswa Sarma honors College of Veterinary Science's Platinum Jubilee,Live|| CM Himanta Biswa Sarma honors College of Veterinary Science's Platinum Jubilee,2023-08-17T11:43:48Z,UCg1nNKwJIeVUhxbtmqfVmgg
KIxyuvGaKjw,300 sarpanches concluded Delhi tour for information about 4800 cr Vibrant village programme,"#arunachal #vibrantvillage #kirenrijiju #newdelhi #sikkim 

From Northeast India sarpanches from  Arunachal & Sikkim were the special invitees at Delhi by Government of India to explore National capital where these visitors interacted with four Union ministers,visited Parliament,India Gate,National war memorial.




https://www.facebook.com/IndiaTodayNE/?ref
https://twitter.com/IndiaTodayNE
https://www.instagram.com/indiatodayne/
https://www.indiatodayne.in/",2023-08-17T08:23:55Z,UCg1nNKwJIeVUhxbtmqfVmgg
XY9JrbRAAs4,Live|| Assam CM attending inauguration programme of Na-Ali Railway Overbridge at Jorhat,Live|| Assam CM attending inauguration programme of Na-Ali Railway Overbridge at Jorhat,2023-08-16T21:11:25Z,UCg1nNKwJIeVUhxbtmqfVmgg
L7VZYrN4378,"LIVE|| Assam CM addressing at the closing ceremony of Platinum Jubilee Celebration at AAU, Jorhat","LIVE|| Assam CM addressing at the closing ceremony of Platinum Jubilee Celebration at Assam Agricultural University, Jorhat",2023-08-16T19:30:04Z,UCg1nNKwJIeVUhxbtmqfVmgg
