youtube_id,sentiment,sentiment_score,sentiment_magnitude
2zUfHp48d8s,"{""documentSentiment"": {""magnitude"": 0.7, ""score"": -0.2}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""Why is BJP Against Caste-Based Census?"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0.5, ""score"": -0.5}}, {""text"": {""content"": ""| Sharat Pradhan | Prof. Giles Verniers"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0.1, ""score"": 0.1}}]}",-0.2,0.7
5fgj9k93FTs,"{""documentSentiment"": {""magnitude"": 0.1, ""score"": -0.1}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""Muslim Meiteis Are Very Insecure; They're Completely Shattered: Pangal Spokesman Md Raees Tampak"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0.1, ""score"": -0.1}}]}",-0.1,0.1
jrrRJyUN67E,"{""documentSentiment"": {""magnitude"": 0, ""score"": 0}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""\u201cMaharashtra Govt Illegal\u201d: Speaker Rahul Narvekar\u2019s \u2018Delaying Tactics\u2019 Under Scanner | Asim Sarode"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0, ""score"": 0}}]}",0,0
_DH2sraXhZ4,"{""documentSentiment"": {""magnitude"": 0, ""score"": 0}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""Yeh Hai Bombay, Meri Jaan: Zubin Mehta in conversation with Karan Thapar"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0, ""score"": 0}}]}",0,0
Izkt1Dl5njw,"{""documentSentiment"": {""magnitude"": 0.2, ""score"": 0.2}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""The Wire Dialogues: Shabnam Virmani Sings Kabir on #Fraternity"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0.2, ""score"": 0.2}}]}",0.2,0.2
vDQRCHBsahk,"{""documentSentiment"": {""magnitude"": 0.1, ""score"": 0.1}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""Manipur: Chilling Story Of a Family | \""They Burnt My Mother Who Was a Freedom Fighter's Wife\"""", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0.1, ""score"": 0.1}}]}",0.1,0.1
kK4afNQe8fg,"{""documentSentiment"": {""magnitude"": 0.7, ""score"": -0.7}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""'Amit Shah's Lok Sabha Speech Has Made Things Worse in Manipur, Irresponsible Not to Remove Biren'"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0.7, ""score"": -0.7}}]}",-0.7,0.7
s6O6F5toor8,"{""documentSentiment"": {""magnitude"": 0, ""score"": 0}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""By Repealing IPC, CrPC, Did Amit Shah End 'British Slavery' or Made Us Slaves Of Modi Govt?"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0, ""score"": 0}}]}",0,0
W19x7hrusaY,"{""documentSentiment"": {""magnitude"": 0, ""score"": 0}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""\u2018Mere Ghar Aa Ke To Dekho\u2019 Campaign Kicks Off On Independence Day, An Initiative to Defeat Hate"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0, ""score"": 0}}]}",0,0
0VylEipa2Dw,"{""documentSentiment"": {""magnitude"": 0.1, ""score"": 0}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""Heaps of Lies, Fear of Defeat: Was This Modi's Last Speech from Red Fort?"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0, ""score"": 0}}, {""text"": {""content"": ""| Modi's Last I-Day as PM?"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0, ""score"": 0}}]}",0,0.1
uNkU36o74ok,"{""documentSentiment"": {""magnitude"": 0, ""score"": 0}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""Houses of Poor Razed Without Prior Notice, What Did People Say After Nuh's Bulldozer Action?"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0, ""score"": 0}}]}",0,0
xwG7xtjXa6U,"{""documentSentiment"": {""magnitude"": 0.2, ""score"": 0.2}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""The Wire Dialogues: The F-word India Really Needs Today | #Fraternity With Actor Prakash Raj"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0.2, ""score"": 0.2}}]}",0.2,0.2
f4_pCIrtdis,"{""documentSentiment"": {""magnitude"": 0.1, ""score"": -0.1}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""CJI's Crack Down on Godi Media: 'Fine on Channel Not Enough, Will Give Strict Instructions Now'"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0.1, ""score"": -0.1}}]}",-0.1,0.1
UuCfeiJ5a00,"{""documentSentiment"": {""magnitude"": 0, ""score"": 0}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""Manipur Governor Deeply Concerned by the Violence But Ignored by Biren Singh Govt: Brinda Karat"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0, ""score"": 0}}]}",0,0
JHbkMNWdNx0,"{""documentSentiment"": {""magnitude"": 0, ""score"": 0}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""Modi Govt Will Take Away The Independence of Election Commission by Enacting a Law"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0, ""score"": 0}}]}",0,0
lVxqEaOZGhI,"{""documentSentiment"": {""magnitude"": 0.7, ""score"": -0.7}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""This Judge Was So Outstanding Modi Ensured He Never Made It to the Supreme Court"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0.7, ""score"": -0.7}}]}",-0.7,0.7
yundJclrPSY,"{""documentSentiment"": {""magnitude"": 0, ""score"": 0}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""As Kuki Families Grieve, a Visit to the \u2018Frontline\u2019 of the Manipur Conflict"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0, ""score"": 0}}]}",0,0
ilqde9WHv88,"{""documentSentiment"": {""magnitude"": 0.1, ""score"": 0.1}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""\""They Want to Create Hate\"": Prakash Raj on Politicisation of Cinema | The Wire Dialogues"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0.1, ""score"": 0.1}}]}",0.1,0.1
t4pd7BVJ5Vw,"{""documentSentiment"": {""magnitude"": 0, ""score"": 0}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""\u201cWe\u2019re Assembling Not Making Mobiles \u2013 Is the PLI Scheme a Failure?\u201d: Raghuram Rajan | Karan Thapar"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0, ""score"": 0}}]}",0,0
Tyk22WwtzG4,"{""documentSentiment"": {""magnitude"": 0, ""score"": 0}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""Nuh: District in Distress | Communal Violence in Haryana & Madness of Bulldozer Politics|Documentary"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0, ""score"": 0}}]}",0,0
LVzjiguYfWo,"{""documentSentiment"": {""magnitude"": 0.2, ""score"": -0.2}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""Modi Let North-East Down; Manipur Should've Been His Priority in LS: C Lalrosanga, MNF MP & NDA ally"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0.2, ""score"": -0.2}}]}",-0.2,0.2
Y5vgJ8fSTLk,"{""documentSentiment"": {""magnitude"": 0.3, ""score"": -0.3}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""Hateful Order Passed By More Than 50 Haryana Panchayats: No Entry For Muslim Vendors"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0.3, ""score"": -0.3}}]}",-0.3,0.3
P3B05qonjiE,"{""documentSentiment"": {""magnitude"": 0, ""score"": 0}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""India Will Say, 'Anyone, But Modi': Mahua Moitra's Full Speech in Parliament"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0, ""score"": 0}}]}",0,0
XqPltAUu83c,"{""documentSentiment"": {""magnitude"": 0, ""score"": 0}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""Farooq Abdullah Vs VK Singh on Plebiscite: NC Leader Tears Into Govt on Kashmir | Full Speech"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0, ""score"": 0}}]}",0,0
KVO-YSlPxhw,"{""documentSentiment"": {""magnitude"": 0.1, ""score"": 0.1}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""Manipur: Fire Destroys 17 Homes in Imphal West's Multicultural Neighbourhood"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0.1, ""score"": 0.1}}]}",0.1,0.1
xoJmHuvT-eg,"{""documentSentiment"": {""magnitude"": 0.4, ""score"": 0.4}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""\u201cIf Modi Comes Again in 2024, India Will Become a Hindu nation, Muslims Second Class Citizens\u201d"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0.4, ""score"": 0.4}}]}",0.4,0.4
AQmqlsDV_ho,"{""documentSentiment"": {""magnitude"": 0.1, ""score"": 0.1}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""Full Details of Kuki & Amit Shah Talks on Mass Burials, Manipur Police And Separate Administration"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0.1, ""score"": 0.1}}]}",0.1,0.1
iSXxYJOJLJw,"{""documentSentiment"": {""magnitude"": 0.1, ""score"": 0.1}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""House Demolished of Man Who Protected Bajrang Dal Men During Riots | Nuh, Haryana"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0.1, ""score"": 0.1}}]}",0.1,0.1
8bfEhqD0Koc,"{""documentSentiment"": {""magnitude"": 0.1, ""score"": -0.1}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""Rahul Gandhi's Blistering Attack on Modi over Manipur: You Aren't Defenders of India But Her Killers"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0.1, ""score"": -0.1}}]}",-0.1,0.1
Eepr888bFlY,"{""documentSentiment"": {""magnitude"": 0, ""score"": 0}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""It Is Forbidden To Speak On Manipur in UP Vidhan Sabha | Sharat Pradhan | Manipur"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0, ""score"": 0}}]}",0,0
Cpf1o-_si1M,"{""documentSentiment"": {""magnitude"": 0, ""score"": 0}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""LIVE: Rahul Gandhi Opens Discussion on No Confidence Motion in Parliament for INDIA Alliance"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0, ""score"": 0}}]}",0,0
CcaRyK9HBYo,"{""documentSentiment"": {""magnitude"": 0.1, ""score"": 0.1}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""Rahul Gandhi Returns to Parliament, 5 Points On How Modi Can Be Defeated | Arfa Khanum |Gaurav Gogoi"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0.1, ""score"": 0.1}}]}",0.1,0.1
fmswbt_AhcM,"{""documentSentiment"": {""magnitude"": 0, ""score"": 0}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""\u201cWe Are Surviving on Water\u201d:In Aftermath of Demolition Drive, Poor Muslims Struggle to Survive | Nuh"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0, ""score"": 0}}]}",0,0
gETp0AxaZyg,"{""documentSentiment"": {""magnitude"": 0.5, ""score"": 0}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""Terror of Bulldozer in Nuh, Are Muslims Being Targeted?"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0.3, ""score"": -0.3}}, {""text"": {""content"": ""| HC Stops Demolitions"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0.2, ""score"": 0.2}}]}",0,0.5
K0rZN3dQ51w,"{""documentSentiment"": {""magnitude"": 0, ""score"": 0}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""The Most Damaging Charge Against CM Biren Singh: Protecting Drug Lords Connected To BJP & His Wife"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0, ""score"": 0}}]}",0,0
uDGdTb9Opos,"{""documentSentiment"": {""magnitude"": 0.2, ""score"": 0}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""Are They Taking Gyanvapi on The Babri Route?"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0, ""score"": 0}}, {""text"": {""content"": ""| Sharat Pradhan | Gyanvapi Mosque | Lucknow Central"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0.1, ""score"": 0.1}}]}",0,0.2
8XUtkRQfmYM,"{""documentSentiment"": {""magnitude"": 0.2, ""score"": -0.2}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""Gurugram: Muslim Residents Fear Saying Their Name, Families Flee After Communal Violence"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0.2, ""score"": -0.2}}]}",-0.2,0.2
p8l79RmCQ8s,"{""documentSentiment"": {""magnitude"": 0, ""score"": 0}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""Derek O\u2019Brien Faces All The Tough Questions About INDIA Alliance | Karan Thapar"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0, ""score"": 0}}]}",0,0
JU7hGobz4qY,"{""documentSentiment"": {""magnitude"": 0.1, ""score"": 0.1}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""Murder in a Moving Train, Haryana on Boil: Is Hindutva a Political Disease?"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0.1, ""score"": 0.1}}]}",0.1,0.1
ZJ8RjjTEVRE,"{""documentSentiment"": {""magnitude"": 0.2, ""score"": -0.2}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""Prabhakar Chaudhary's Transfer & Nuh Riots: Does the Govt Really Want to Stop Riots?"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0.2, ""score"": -0.2}}]}",-0.2,0.2
zrkqIr7_U18,"{""documentSentiment"": {""magnitude"": 0, ""score"": 0}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""Uneasy Silence in Gurugram: Muslim Families Flee After Attack By Bajrang Dal | Ground Report"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0, ""score"": 0}}]}",0,0
vZnhfq2nQls,"{""documentSentiment"": {""magnitude"": 0, ""score"": 0}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""\u2018Shops Looted, Vehicles Burnt\u2019: Residents of Nuh Recall The Horror of Communal Violence | Haryana"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0, ""score"": 0}}]}",0,0
3kxf9LMDmPI,"{""documentSentiment"": {""magnitude"": 0.6, ""score"": -0.1}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""\""Khattar Govt Could Have Stopped Riots in Haryana."", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0.1, ""score"": 0.1}}, {""text"": {""content"": ""Not a Single Riot During Congress Rule\"": Hooda"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0.4, ""score"": -0.4}}]}",-0.1,0.6
My9fFnZTciU,"{""documentSentiment"": {""magnitude"": 0, ""score"": 0}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""\u201cThe Indian State has Gone into Hiding in Manipur\u201d- Harsh Mander, Former IAS Officer | Karan Thapar"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0, ""score"": 0}}]}",0,0
_BsTT29-olw,"{""documentSentiment"": {""magnitude"": 0.1, ""score"": -0.1}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""Nuh Temple Priest Refutes Haryana Home Minister's Claim That People Were 'Held Hostage'"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0.1, ""score"": -0.1}}]}",-0.1,0.1
m81Ul6S9_kQ,"{""documentSentiment"": {""magnitude"": 0, ""score"": 0}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""'My Duty To Protect Hindus of Mewat': Member of Peace Committee Calls Haryana Violence Orchestrated"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0, ""score"": 0}}]}",0,0
qBo5tXRFYiE,"{""documentSentiment"": {""magnitude"": 0, ""score"": 0}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""Answer To All Communal Arguments Related to Gyanvapi Masjid Row | Varanasi | Yogi Adityanath | Kashi"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0, ""score"": 0}}]}",0,0
RVxcJiV9XmM,"{""documentSentiment"": {""magnitude"": 0.3, ""score"": 0.3}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""\u201cVote Only for Modi-Yogi\u201d, RPF Jawan Kills 4 | Thanks to Godi Media, Hate Has Won | Arfa Khanum"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0.3, ""score"": 0.3}}]}",0.3,0.3
nQSiCYaIus4,"{""documentSentiment"": {""magnitude"": 0.1, ""score"": -0.1}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""249 Meitei Churches in Valley Burnt Not By Kukis But May Be By Tenggol, Leepun: Archbishop of Imphal"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0.1, ""score"": -0.1}}]}",-0.1,0.1
uzXs9Sb2s5o,"{""documentSentiment"": {""magnitude"": 0.2, ""score"": 0.2}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""\""Ensure Justice is Done\"": CJI Chandrachud Critical of Govt on Manipur |Supreme Court"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0.2, ""score"": 0.2}}]}",0.2,0.2
jKdmwH20cY0,"{""documentSentiment"": {""magnitude"": 0.1, ""score"": 0.1}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""Manipur: Meiteis Spend Night in Fear Amid Firing Bullets | A Night on Valley Border - Part 8"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0.1, ""score"": 0.1}}]}",0.1,0.1
kj9IS-KCRMk,"{""documentSentiment"": {""magnitude"": 0.6, ""score"": -0.6}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""Will Never Accept Separate Kuki Administration Says Manipuri  Body, Renews Attack on Assam Rifles"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0.6, ""score"": -0.6}}]}",-0.6,0.6
UGWIyHiKx50,"{""documentSentiment"": {""magnitude"": 0, ""score"": 0}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""Udupi Toilet Video: Did BJP Try To Give a Communal Spin To The Incident?"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0, ""score"": 0}}]}",0,0
7P7ov-m_NkQ,"{""documentSentiment"": {""magnitude"": 0, ""score"": 0}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""Manipur Ground Report: The Wire Meets People in Search of Their Relatives - Part 7"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0, ""score"": 0}}]}",0,0
bbjs91nf9PU,"{""documentSentiment"": {""magnitude"": 0, ""score"": 0}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""Minimum Guaranteed Income bill tabled in the Rajasthan Legislative Assembly"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0, ""score"": 0}}]}",0,0
hhXVDAkqkf8,"{""documentSentiment"": {""magnitude"": 0, ""score"": 0}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""'They Killed My Husband & Mother-in-Law, Smashed My Head,' Says 29 Year Old Kuki Survivor"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0, ""score"": 0}}]}",0,0
PuheO66a8kU,"{""documentSentiment"": {""magnitude"": 0.2, ""score"": -0.2}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""This Bill To Amend RTI Act That Will Make Govt Less Accountable, Says Anjali Bharadwaj"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0.2, ""score"": -0.2}}]}",-0.2,0.2
ctWH1zZgni4,"{""documentSentiment"": {""magnitude"": 0.6, ""score"": 0.6}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""India's Economy Will be in Top 3 in Modi's Third Term: Truth Behind Modi's Hollow Claim"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0.6, ""score"": 0.6}}]}",0.6,0.6
wP5jwWausLU,"{""documentSentiment"": {""magnitude"": 0, ""score"": 0}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""Kuki-Zo Women Submit Memorandum to President Murmu, Demand CM Biren's Removal | Manipur Crisis"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0, ""score"": 0}}]}",0,0
JqZsQRSF8p4,"{""documentSentiment"": {""magnitude"": 0, ""score"": 0}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""I'm in Favour of a Uniform Civil Code But What I Really Want is Total Gender Equality: Javed Akhtar"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0, ""score"": 0}}]}",0,0
CN4E7Qw_sFY,"{""documentSentiment"": {""magnitude"": 0, ""score"": 0}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""Manipur CM Stood With Perpetrators & PM Stands With Him | Sharat Pradhan | Patricia Mukhim"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0, ""score"": 0}}]}",0,0
gMtbXg12jAM,"{""documentSentiment"": {""magnitude"": 0.2, ""score"": 0}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""Did Modi Accept Defeat By Calling Opposition Alliance I.N.D.I.A a Terrorist?"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0, ""score"": 0}}, {""text"": {""content"": ""| INDIA"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0.1, ""score"": 0.1}}]}",0,0.2
fV2PpL8m2s4,"{""documentSentiment"": {""magnitude"": 0, ""score"": 0}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""Kuki Leader Who Once Backed Biren Manipur Govt Claims \u2018200 Meiteis Killed\u2019 in Khamenlok, June 13/14"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0, ""score"": 0}}]}",0,0
2aOfmP8yKnM,"{""documentSentiment"": {""magnitude"": 0.3, ""score"": 0.1}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""Sharad & Ajit Pawar Allying For 'Fevicol Deal' With BJP?"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0, ""score"": 0}}, {""text"": {""content"": ""Inside Story With Sudhir Suryawanshi"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0.3, ""score"": 0.3}}]}",0.1,0.3
vIcx2EcPaCY,"{""documentSentiment"": {""magnitude"": 0, ""score"": 0}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""Oppenheimer-Bhagavad Gita Controversy:Anurag Thakur Responds As Netizens Demand The Removal Of Scene"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0, ""score"": 0}}]}",0,0
IRbCpUd0keY,"{""documentSentiment"": {""magnitude"": 0.1, ""score"": 0.1}, ""language"": ""en"", ""sentences"": [{""text"": {""content"": ""First Battle of INDIA vs NDA in Parliament, \""Modi is Not Healing Manipur's Wounds\"" | Gourav Vallabh"", ""beginOffset"": -1}, ""sentiment"": {""magnitude"": 0.1, ""score"": 0.1}}]}",0.1,0.1
