youtube_id,title,description,published_at,channel_youtube_id
RlHf1Bk7xu0,The trend that's making people go off social media | BBC News India,"""Dopamine Fasting' is a trend that has found many takers, especially amongst those working in the tech industry. The idea is to isolate oneself from all the 'unhealthy' stimuli of the modern world such as social media, video games, processed foods etc. But what is the science behind it, and is it even effective? 

This video was first published on BBC Reels in August 2022.

0:00 What is 'Dopamine Fasting'?
0:15 The trend around 'Dopamine Fasting'
0:52 The modern world today
1:16 What is Dopamine?
1:36 Dopamine and the human brain
2:20 The modern world and Dopamine
2:51 Personal experience of Dopamine fasting
3:34 The primitive brain
4:40 Benefits of Dopamine fasting
5:27 Perspective from a Psychiatrist


Click here to subscribe to our channel 👉🏽 https://bbc.in/3whmDp3
-----------------------------------
This is the official BBC News India channel. If you want to understand and follow the India story, we hope this will be your home. Here, you’ll find stories that move your heart and explainers, interviews and documentaries on issues that you care about.
Don’t expect a 24/7 stream of news, we are not that channel. But you can look forward to top-quality BBC journalism that will help you make sense of what’s happening around you.
Do comment on our videos and posts because we will be reading them and taking them on board, and if you like what we do, you can also find us here 
BBC Website 👉🏽https://bbc.in/3XjgjcP
Instagram 👉🏽 https://bbc.in/3GNTSVW
Facebook 👉🏽  https://bbc.in/3XgMc5M
Twitter 👉🏽  https://bbc.in/3XlbAXZ

Thanks for following us!

#BBCNewsIndia #India #technology #dopaminefasting #mentalhealth",2023-08-25T12:00:33Z,UCF4QKhPMP1JybbkIJzIayww
u62enBK1qK4,Watch Chandrayaan-3's rover as it ramps down from lander Vikram and takes a walk on the Moon.,,2023-08-25T06:24:12Z,UCF4QKhPMP1JybbkIJzIayww
xonWaarO2PU,"Watch the moon's image captured by Chadrayaan-3's lander, Vikram, just prior to touchdown. #India",,2023-08-25T05:36:29Z,UCF4QKhPMP1JybbkIJzIayww
0RkByvJq95Q,"Watch drone shots from Kullu, Himachal Pradesh, as several houses collapse after landslides.",,2023-08-25T04:36:12Z,UCF4QKhPMP1JybbkIJzIayww
0y2Df1fxl8M,Watch people across India celebrate Chandrayaan-3's success. #chandrayaan3 #ISRO #India,,2023-08-24T06:06:25Z,UCF4QKhPMP1JybbkIJzIayww
d1T8sWcDV0I,Chandrayaan-3 makes historic landing near Moon's south pole | BBC News India,"India makes history. The country's latest lunar mission, Chandrayaan-3, has successfully landed near the Moon's south pole making India the first country to do so.
But what does this mean for India and for the world and how did we get here?
The BBC's Bimal Thankachan explains.

Video edited by Antariksh Jain
#chandrayaan3 #moon #isro #moonmission 

Footage: Indian Space Research Organisation

Click here to subscribe to our channel 👉🏽 https://bbc.in/3whmDp3
-----------------------------------
This is the official BBC News India channel. If you want to understand and follow the India story, we hope this will be your home. Here, you’ll find stories that move your heart and explainers, interviews and documentaries on issues that you care about.
Don’t expect a 24/7 stream of news, we are not that channel. But you can look forward to top-quality BBC journalism that will help you make sense of what’s happening around you.
Do comment on our videos and posts because we will be reading them and taking them on board, and if you like what we do, you can also find us here 
BBC Website 👉🏽https://bbc.in/3XjgjcP
Instagram 👉🏽 https://bbc.in/3GNTSVW
Facebook 👉🏽  https://bbc.in/3XgMc5M
Twitter 👉🏽  https://bbc.in/3XlbAXZ

Thanks for following us!

#BBCNewsIndia #India",2023-08-23T12:39:59Z,UCF4QKhPMP1JybbkIJzIayww
vzM1e1KjsPk,BBC reporter Samira Hussain reporting on the Chandrayaan-3 landing from ISRO'S media centre #shorts,,2023-08-23T11:46:31Z,UCF4QKhPMP1JybbkIJzIayww
g8uXluMovkQ,Watch: People across India pray for the successful landing of Chandrayaan-3.,,2023-08-23T10:24:02Z,UCF4QKhPMP1JybbkIJzIayww
rhQCb1lgoB0,Watch Chandrayaan-3's historic 40-day journey #shorts @bbcnewsindia,"Chandrayaan-3's lander, Vikram, is due to land on the Moon's little explored south pole on 23 August. If it is successful, India will be first to land on the lunar south pole.

Click here to subscribe to our channel 👉🏽 https://bbc.in/3whmDp3
-----------------------------------
This is the official BBC News India channel. If you want to understand and follow the India story, we hope this will be your home. Here, you’ll find stories that move your heart and explainers, interviews and documentaries on issues that you care about.
Don’t expect a 24/7 stream of news, we are not that channel. But you can look forward to top-quality BBC journalism that will help you make sense of what’s happening around you.
Do comment on our videos and posts because we will be reading them and taking them on board, and if you like what we do, you can also find us here 
BBC Website 👉🏽https://bbc.in/3XjgjcP
Instagram 👉🏽 https://bbc.in/3GNTSVW
Facebook 👉🏽  https://bbc.in/3XgMc5M
Twitter 👉🏽  https://bbc.in/3XlbAXZ

Thanks for following us!

#BBCNewsIndia #India #Chandrayaan3 #ISRO #Moon",2023-08-22T11:53:43Z,UCF4QKhPMP1JybbkIJzIayww
V6DFXceqt8o,Merle Oberon: The Indian Hollywood star who passed as white | Sound-scape | BBC News India,"Merle Oberon, a Hollywood star of the black and white era, is a forgotten icon in India, the country of her birth. She is the first actor of Asian origin to be nominated for an Oscar. Listen to this audio-first, visuals-led story of this famous actor who had to keep her racial identity under wraps.

Reported by Meryl Sebastian
Video by Devang Shah
Voiceover by Nikita Mandhani

#merleoberon #hollywood #indiahistory #hollywoodactor 

Footage: Getty Images

0:20 Merle Oberon's inspiration: Silent film actress Vilma Bánky
0:28 Starts acting from Calcutta amateur theatrical society
0:32 Travels to France and meets Rex Ingram
0:45 Merle's family background
1:10 Sir Alexander Korda meets Merle
1:35 Tasmania is chosen as her new birth place
1:41 Merle gets nominated for an Oscar
3:00 Journalists started noting her tanner complexion

Click here to subscribe to our channel 👉🏽 https://bbc.in/3whmDp3
-----------------------------------
This is the official BBC News India channel. If you want to understand and follow the India story, we hope this will be your home. Here, you’ll find stories that move your heart and explainers, interviews and documentaries on issues that you care about.
Don’t expect a 24/7 stream of news, we are not that channel. But you can look forward to top-quality BBC journalism that will help you make sense of what’s happening around you.
Do comment on our videos and posts because we will be reading them and taking them on board, and if you like what we do, you can also find us here 
BBC Website 👉🏽https://bbc.in/3XjgjcP
Instagram 👉🏽 https://bbc.in/3GNTSVW
Facebook 👉🏽  https://bbc.in/3XgMc5M
Twitter 👉🏽  https://bbc.in/3XlbAXZ

Thanks for following us!

#BBCNewsIndia #India",2023-08-21T12:00:31Z,UCF4QKhPMP1JybbkIJzIayww
